"Axis1"	"Axis2"	"Axis3"	"Axis4"	"Axis5"	"Axis6"	"Axis7"	"Axis8"	"Axis9"	"Axis10"	"Axis11"	"Axis12"	"Axis13"	"Axis14"	"Axis15"	"Axis16"	"Axis17"	"Axis18"	"Axis19"	"Axis20"
"adam_F4"	-20.4197022428587	-14.0754303164477	12.2761953116797	-8.20913759858108	-5.8375616234758	-3.3141228808378	5.82591750067758	3.87852072512518	-2.51926307636304	-3.94581717117495	2.67486951290932	1.64272508157287	10.5068896680525	-3.42732049147402	-4.32222834248844	-1.85206442756688	-3.41301053648124	-1.48954971980177	-8.77985707597565	-0.679926208746292
"adam_messerich_A8"	-4.15398217202145	-5.77222252259106	5.44859339444886	1.73942654344894	-1.35276027245133	3.39685478678052	-1.52300550932069	-1.28169958086461	-0.121337690249177	-3.61676807633647	-3.06669546253033	5.62858106289642	-10.7612306761424	-4.8254349005057	-3.45730240876663	2.37628368340748	-2.55155085216407	1.45922459636327	1.38664126750654	0.358568735653391
"adelaide_d_orleans_E10"	-13.133812560186	5.9513846184801	5.85133458465084	2.33258826402049	-2.88567555534104	-16.6613360534643	-6.89838352283938	0.986929781392685	-3.19347517519417	6.22428171026159	0.611704064004281	0.146787828568742	3.09140861731018	5.13544209867703	4.14796315708573	-2.5848418037859	2.31998192967255	-1.30248214660203	6.23549013107398	2.15773665918041
"aennchen_von_tharau_A2"	-5.16735102007215	1.29086722094387	-3.18876162508256	7.4205988079312	-3.67982524099461	-0.24833884364564	0.605435380918816	-0.265817228697219	-4.95260114281651	3.37581703067166	0.217294570447384	2.22269112697054	-3.58730843597699	-1.22427149041377	-3.06662877741128	-0.586895040296055	2.60069814274287	6.58086337653597	-2.01911389061154	1.91400041640258
"aglaia_H10"	-19.1474440206771	-0.277777059738915	-1.08883063942804	-13.0097696800056	-6.60741857944329	10.341523142595	-7.79662588030407	5.90443766408053	-3.3041081743059	2.89103585796835	-0.287123178368321	-3.30816545883182	-0.532535119305044	-2.1588210576753	3.86104606636634	-0.372924514655706	-2.53434831623156	1.197777932646	0.154281550412831	-0.702650619208799
"agnes_A3"	19.5187853693663	-17.9105299019945	-12.7829515516004	-4.21534619264555	-2.81759695893965	-1.87460505071265	0.937240053275391	0.0208208181113854	3.94507470767287	4.96144625662675	-5.6553914952814	2.19277426786112	1.90671442436159	-2.19559798673225	-0.146781077414429	-1.74236633548117	-0.240018538249505	-0.273594474142244	-0.000289578034205202	0.621569887759533
"alberic_barbier_H5"	-18.0598361712609	-2.13946126303121	1.60065708115218	-16.3259288148268	-6.82043273521446	10.8924491105419	-6.54806064876634	4.34076035975567	1.14260246731421	0.70291731643216	0.996465995796847	-5.04778827692553	-2.82528549316273	-1.95999309505579	3.89564010219309	-1.09474790548792	0.380378757704402	3.40978100932554	1.25601065500612	1.0668992641462
"alfred_colomb_C3"	-6.31185236138566	-9.10934920401877	0.255651580054859	13.3750193405817	0.483996354602982	1.61688060094204	0.149403306544908	3.41953524472135	-5.30019774156559	2.79469902016724	0.866697324158907	3.00954159522648	0.290703551904519	1.04192520892072	1.67660797858485	0.176090644459242	-0.00769693106233041	0.443627868978013	2.51220358481289	-1.9325036891748
"anna_maria_de_montravel_C9"	-20.8891412191116	13.2434439700013	-18.5125318239585	1.21645302820349	-5.51661543293971	-0.483130163095017	3.33494051099939	-9.98696734310818	2.39455872367902	-2.4160008214227	1.32386713602087	5.77631891152492	1.4690705047174	-0.746227143390113	4.55112498376891	2.50541974914602	-4.25814788249483	-2.102873935658	2.15914075596185	1.09608889604894
"antonia_d_ormois_C12"	12.7580040837622	8.44797258900168	4.97171626157763	-2.10997611630405	-1.13402526230873	0.221955878957408	0.958951811495731	-0.797310289563899	0.108768848032743	0.661926112365501	0.0689792156994271	-0.860632162836419	0.475861214354326	0.863071245638559	0.933852447283946	1.29519831889676	-0.0954079498398589	-0.600700187456852	-1.40559543983003	1.37406738740248
"ayrshire_queen_G1"	-11.4228457902507	1.74011693939567	11.8043681455271	2.30773230207737	-5.48932265655071	-12.5101348728487	-8.51798103428706	0.4299685978818	5.72189290405385	3.1181465172693	8.45506912928307	5.90981398139448	-2.37626725855675	0.1057493842441	2.30781132218493	-4.72719637318379	-0.287482650094894	4.81112036303568	-0.225715918757016	1.63202511451913
"bacchante_A5"	14.3981753724515	9.96775290004114	6.42976477865641	-1.501926555085	-4.21612561941548	0.385529445720769	3.30359250162614	-0.189171598776402	0.243673822189221	1.72527037037935	0.223598509304025	-1.33526591216889	-0.368336411094705	1.09016557602378	-0.003645079387518	1.19670522840771	-0.321628623092522	0.591514875941154	-0.397694395919113	0.129549897111807
"baron_de_wassenaer_D4"	4.0130167908985	2.44747110262913	-0.546723433302305	4.68993627426366	3.55408803107319	1.77825941170377	0.0302989263070392	4.25252377744451	-3.93658041640817	-5.07950441379066	-3.12326561166571	1.43223949642471	1.75261354751738	-1.82627597744069	1.76175947117849	-1.01087500146519	0.960518620089292	-2.49621422805981	3.1277178877639	0.72061117459674
"beau_narcisse_H5"	0.963977969247968	3.01762472227558	4.64199696450431	1.28570392655458	-3.1104652757911	-1.1896914867362	4.05304818492913	5.37902933030032	1.11705789132179	1.7306467077816	3.43293515680164	0.825909828558567	2.05980240441838	-1.94170037932411	-0.0495090431416425	3.21594432106485	-0.193171928087034	-0.442929257109636	1.12228997058092	-3.85243822262128
