index	sampleID2	groupID	groupID2	sampleID	sampleID2	sampleID3	sampleID4	axis1	axis2	axis3	axis4	axis5	IDshort	ID	Name	Group	reads	mapped	pc_mapped	pc_properly_paired	singletons	mapped_diff_chr	mapped_diff_chr_mapQ
31	rosa_x_damascena	Ancient_European	Ancient European	Rxdama	Rosa_x_damascena	6:Rosa_x_damascena	6	-0.171561085	0.130966978	-0.119552607	-0.089168429	-0.245381946	Rxdama	Rxdama	rosa_x_damascena	AncientEU	135502470	130907365	96.61	78.56	1252233	17475406	8883306
26	rosa_moschata	Botanical	Botanical	Rmosch	Rosa_moschata	26:Rosa_moschata	26	-0.204798235	0.03703235	0.188713601	0.077326267	-0.025354044	Rmosch	Rmosch	rosa_moschata	Botanical	139248064	124928977	89.72	NA	NA	NA	NA
22	rosa_chinensis_spontanea	Ancient_Asian	Ancient Asian	Rchispo	Rosa_chinensis_spontanea	14:Rosa_chinensis_spontanea	14	0.155110039	-0.038987145	0.116101663	-0.021005645	0.14660065	Rchispo	Rchispo	rosa_chinensis_spontanea	AncientAsia	172310043	158485386	91.98	NA	NA	NA	NA
30	rosa_xanthina_spontanea	Botanical	Botanical	Rxanth	Rosa_xanthina_spontanea	27:Rosa_xanthina_spontanea	27	-0.292220215	-0.919864144	-0.173780799	-0.049422145	0.004967442	Rxanth	Rxanth	rosa_xanthina_spontanea	Botanical	140602874	118039921	83.95	NA	NA	NA	NA
32	yellow_island	Tea_Hybrids	Hybrid tea roses	YellowIsland	Yellow_Island	19:Yellow_Island	19	0.118789624	-0.047176061	0.048216626	-0.027593054	-0.028279433	YellowI	YellowIsland	yellow_island	HybTea	NA	NA	NA	NA	NA	NA	NA
28	rosa_pendulina	Botanical	Botanical	Rpend	Rosa_pendulina	28:Rosa_pendulina	28	-0.429094769	0.090062072	0.456959363	0.228064301	0.198194186	Rpend	Rpend	rosa_pendulina	Botanical	169328421	164504652	97.15	74.82	1192060	26540758	13653390
29	rosa_wichuraiana_lyon	Botanical	Botanical	Rwich	Rosa_wichuraiana	29:Rosa_wichuraiana	29	0.099196539	0.028967241	-0.394445305	0.885118763	-0.072909984	Rwich	Rwich	rosa_wichuraiana_lyon	Botanical	136412251	132315927	97	82.69	857817	13973974	7127505
24	rosa_majalis	Botanical	Botanical	Rmaja	Rosa_majalis	30:Rosa_majalis	30	-0.334801231	0.080835768	0.335611026	0.151316136	0.031399555	Rmaja	Rmaja	rosa_majalis	Botanical	116890966	113629853	97.21	76.26	815918	17207330	8695712
19	rosa_arvensis	Botanical	Botanical	Rarve	Rosa_arvensis	31:Rosa_arvensis	31	-0.089488273	0.14002021	-0.355996214	-0.111705254	0.867452471	Rarve	Rarve	rosa_arvensis	Botanical	106331890	103757212	97.58	75.19	679072	17229310	8923677
27	rosa_odorata_gigantea	Ancient_Asian	Ancient Asian	Rogig	Rosa_odorata_gigantea	13:Rosa_odorata_gigantea	13	0.177399466	-0.047084659	0.124660233	-0.014134307	0.083811209	Rogig	Rogig	rosa_odorata_gigantea	BotanicalAsia?	121193122	119046207	98.23	86.96	610462	9761212	5115415
25	rosa_minutifolia	Botanical	Botanical	Rminut	Rosa_minutifolia	32:Rosa_minutifolia	32	-0.18446519	0.022243793	0.165923853	0.069156476	-0.022711149	Rminut	Rminut	rosa_minutifolia	Botanical	139670490	124122493	88.87	NA	NA	NA	NA
