Name,TN2014,TN2015,TN2016,PCo1,PCo2,PCo3,PCo4,PCo5
oeillet_panache_G11,4,4,0,130.6990328933,58.1123757624,59.7305464755,1.1574049346,20.773216035
old_blush_G12,NA,NA,NA,-287.9141306624,-71.4570680985,23.5071618352,-68.2761386771,51.4896981063
olivet_E2,4,1,4,-57.2261700863,11.3225078905,11.0932407505,-52.4203241134,4.9877594819
panache_superbe_F3,1,1,1,-42.1419939321,-22.1768343982,32.314820978,-71.8390594398,9.8158275841
paquerette_A2,1,0,0,-155.35535909,155.0690659103,-160.3999181403,-3.4273643877,68.0394712983
parks_yellow_tea_scented_china_C5,1,0,0,-134.3726961565,-59.270941707,41.3249469222,148.4483781678,40.6333494511
pergolese_A5,1,0,0,144.0062179394,75.4492432666,70.6165849261,12.9988945475,16.6750155007
perle_d_angers_F12,5,5,5,-79.132153146,-86.0393511302,41.2031213046,-108.1579594133,7.7154141275
persian_yellow_A1,5,4,4,157.465576544,-119.1574873608,-104.8176922747,44.1720261711,21.2514743773
petite_ecossaise_F5,1,0,0,193.6994482142,-169.4549714941,-145.0804328635,26.5777085293,19.2374331375
petite_lisette_E4,4,3,2,123.0420736251,21.9161728387,18.6743468887,23.0237073863,-63.2461228181
pink_roamer_A4,0,0,0,-150.5398042635,161.0395322624,-151.9879520409,-32.5602445817,61.7083183642
pompon_blanc_parfait_G6,4,3,4,28.6075610969,-34.1277931843,-65.7840581104,9.386775345,-76.4825170513
prince_frederic_D11,1,0,0,6.9228074304,86.892374344,11.6882761239,-6.2252687,20.414414492
provence_pink_C2,4,3,2,124.2099418503,23.7722488768,22.9837595731,7.1849818982,-56.6137589989
provins_renoncule_F8,0,1,2,151.1540785035,27.4084484172,6.6043234365,19.696309842,24.1797098214
pucelle_de_lille_H8,0,1,1,146.8609420959,84.8430160348,79.046358838,8.3678041013,33.7305728563
quatre_saisons_blanc_mousseux_F3,4,3,1,125.8494053045,-42.5374187625,-24.1280481855,12.6558242071,-113.7267674426
reine_des_centfeuilles_C3,0,0,0,115.2088047208,38.1855432467,37.047413469,15.4094369124,-72.9809440741
rene_andre_H11,0,0,1,-156.426404817,34.9603743653,-34.0155901528,118.896293196,65.7814936429
robert_le_diable_F12,0,0,0,149.6965249119,77.2948088494,74.4192374496,8.0595127322,34.2384005744
robusta_bourbon_C11,2,3,3,-207.3112928104,-100.0581676853,2.7582640834,-112.4195714529,-23.3480664993
roi_des_pourpres_E11,1,0,0,139.3521547802,-68.0246628017,-74.2976729846,48.1405336428,-61.1668564162
rosa_albertii_G7,0,0,0,201.4786608006,-175.3986063886,-148.4436032193,20.6739543692,19.3345112475
rosa_arvensis_D8,0,0,0,49.6941996491,146.576662321,41.6412948235,51.1263879611,6.7998076165
rosa_californica_E8,0,1,1,-8.7897011423,-9.5223250828,-202.9980425929,-47.6733357727,34.6797103992
rosa_calocarpa_H10,1,0,0,203.6356184111,-195.4579017784,-166.9013680778,12.2993191759,21.0098684811
rosa_centiflora_rosae_G2,4,5,4,43.2278853085,-25.5230770388,45.9700772483,-47.5827089096,-20.3989925615
rosa_chinensis_C8,2,0,1,-169.2829020569,177.3671488995,-183.4088639549,-48.6108395445,56.1731787104
rosa_chinensis_mutabilis_G3,NA,NA,NA,-188.8557737966,-62.4952352267,39.0298123203,47.9154315862,-33.3232882438
rosa_corymbifera_G6,NA,NA,NA,112.6291102216,16.5609431874,-44.609887923,43.7014247413,8.8566921074
rosa_cuspidata_G5,3,0,0,-123.7473416388,-74.7240452469,52.2481904023,-138.96828044,-11.040743462
rosa_damascena_bifera_yorklancaster_G8,NA,NA,NA,125.8931463717,-42.4817549702,-24.0774001328,12.8336197987,-114.3053187614
rosa_dupontii_A12,3,0,3,59.2944341142,58.6823288569,22.4707639976,59.7916080759,-140.5606507197
rosa_ferruginea_C11,2,0,0,205.4350833577,-189.9615275951,-159.2681551312,14.3315827814,17.635126056
rosa_fortiniana_de_banks_F3,1,0,0,124.6542127231,-81.6993087374,-71.9917998515,49.7793180912,20.3502105815
rosa_gallica_C4,NA,NA,NA,181.686415257,-147.7562360514,-128.7473696959,34.1727568211,20.7691412869
rosa_holikensis_G10,2,0,0,191.6259442932,-166.4232309954,-143.6985368478,25.947529386,18.9093007982
rosa_iwara_A10,1,0,0,41.4514773379,-3.780686598,-199.3698890569,-7.6700162391,49.9327310587
rosa_majalis_H2,NA,NA,NA,208.3717203277,-198.2809420435,-166.7743144669,10.4406094496,16.7914418691
rosa_majalis_plena_H11,NA,NA,NA,207.6267605923,-204.1119262258,-171.4000830499,7.9709159195,18.3425938452
rosa_manetti_H4,5,4,4,-84.6573884508,-32.4079895966,-41.7516920288,-28.2606116257,-81.5853847241
rosa_maximowicziana_B9,4,2,0,-50.3950996539,137.2198969462,-85.7743548743,37.1641389784,18.6276442064
rosa_minutifolia_alba_H5,NA,0,0,188.9359120761,-169.3476233082,-145.158752562,23.6412114791,21.6115426132
rosa_multiflora_carnea_D5,4,4,4,-109.8100245905,118.1614222979,-103.8419038711,10.8176059456,-78.1300006321
rosa_pendulina_oxyodon_H9,0,0,0,184.1996113989,-161.6471663509,-139.555095926,27.8002473167,19.5902059247
rosa_pendulina_pyrenaica_H7,0,0,0,193.9239465513,-165.5120061508,-144.4224354968,28.2506305643,21.5603985874
rosa_pimpinellifolia_double_white_F6,0,0,2,177.4723455215,-141.5075838366,-123.8902058659,39.1486937062,22.5364159382
rosa_polliniana_A11,1,0,0,121.746575194,91.3752908068,43.8367943387,34.1438416511,20.6020701994
rosa_rapini_E5,5,5,5,166.2041934963,-125.4018374418,-115.9838124439,43.7085549554,24.1293437403
rosa_rubiginosa_gold_bush_H10,NA,NA,NA,-93.6001186747,-24.4244102167,-48.5142160712,6.0724966808,-6.5779825759
rosa_rubus_B8,1,0,0,-52.7659277454,107.3601085881,-66.4998773289,55.5855689591,-22.6382411445
rosa_spectabilis_H12,4,3,3,-97.0899048326,100.9511122703,-18.7214734534,10.4573972137,-83.2934561316
rosa_subgallicodes_E3,0,0,0,40.3823911933,138.7470481522,27.8507750292,54.4732053704,3.0434404694
rosa_villosa_recondita_C5,1,0,0,69.885345576,100.801509627,-2.522139081,-1.1589899214,36.0798355318
rosa_wichurana_C9,0,0,0,-93.8449159007,168.3867205595,-140.6023611567,18.9535027499,52.674015667
rose_edouard_D7,5,4,2,-84.8397212275,-92.3472647198,2.3129099321,-67.0444472266,-25.746890384
ruby_queen_H3,1,0,0,-49.6270115098,-65.82489039,48.9192334035,-115.148072633,-6.2946387401
safrano_H7,0,0,0,-93.4354977192,-124.0744245739,71.8056162347,-78.5377119346,-5.4570953547
salet_C10,4,5,3,-6.2494895512,-42.2032317873,38.9021482511,-68.8858341865,-6.6890530179
sidonie_F6,4,4,4,26.4341452342,48.9997599789,17.6427517098,-3.0027479528,-69.1290341357
sir_joseph_paxton_C1,3,1,0,-176.8225813803,-111.7619230087,0.0165553471,-120.8191662672,-6.1795117386
south_orange_perfection_H2,0,0,0,-156.114443932,167.6036713493,-159.7485975636,-23.7362532301,45.216318124
souvenir_de_brod_B12,4,5,4,-14.119037771,5.3478016468,10.6059626225,-36.4751121707,-35.7685902174
souvenir_de_la_reine_dangleterre_E7,NA,NA,NA,-82.2700444467,-44.2437166762,43.8639661162,-96.7708456466,13.6291098929
souvenir_de_lucie_A3,4,4,4,-14.7183159221,-31.6913985784,53.1533413917,-59.1737015843,-14.5706406888
souvenir_de_philemon_cochet_F9,1,0,0,206.4884895318,-201.8493503816,-170.4534380377,13.2242943803,22.3415184747
stanwell_perpetual_D11,3,1,2,-10.3501050558,19.514375204,23.1443543924,-55.0526764267,-8.6185887348
the_garland_D6,0,0,1,-112.3304807101,74.1868327613,-65.4429856564,51.0537683574,-239.8983339401
tom_wood_D1,3,4,4,-112.5197299033,-71.0870580214,49.7490290463,-146.2920632402,-14.2560895377
toussaint_l_ouverture_H2,4,0,0,148.292102712,74.1000738284,70.597678316,5.2531793006,19.3697895966
triomphe_de_l_exposition_A8,3,3,1,-20.2836107272,-31.5946570068,59.4106485951,-72.7879647902,-16.5443110044
tuscany_superb_C10,0,0,0,151.6113985255,69.1130606972,69.5566233171,6.4080498061,33.4173703355
una_G12,3,5,1,-77.2138112106,6.1434324852,61.4446387668,83.9704827822,15.2268996429
victor_verdier_H6,NA,NA,NA,-24.9365438142,-51.6409797797,96.8830290944,-89.2051126847,54.6359053246
virago_C8,4,0,1,65.8106716602,-28.6312690345,48.3102900334,-46.412628516,-6.5423139361
vivid_B5,1,0,0,-17.4446734417,-11.6673443078,32.4219817799,-63.2002333058,-24.7285016889
william_lobb_D10,1,3,3,-14.1805005375,33.5055144136,-15.5186253244,-65.0673553622,-32.2913072522
wodan_F5,5,3,2,-78.0593905823,-8.9662284656,-40.6708044264,-69.828086844,4.0069620036
