Name,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,4,-0.497487734318319,0.644584443413494,3.2299776675419,12.916376442284,0.37003711145507,5.78749484879147,0.0754352030947776,6.06597263440277,0.25426232599293,12,0.0419161676646707,2,0,-202.6184497,-83.68701119,61.10386399,145.1305199,27.76088089
adam_messerich_A8,5,-0.841732676088558,1.32038396952275,2.34271184240008,23.0296238611489,0.645534183020868,14.1008350232855,0.239024390243902,3.34442881962541,1.44623948956774,13,0.432432432432432,1,1,-51.15633087,-54.46923342,56.41315673,-15.07918355,10.13496043
adelaide_d_orleans_E10,2,-0.037664085088205,0.0383823661660726,8.13333305572164,19.4489724846153,2.67073172989076,7.69788925225629,0.0556464811783961,15.8760627559532,1.1206632533614,18,0.0705882352941176,5,0,-142.1343959,23.75529218,44.71305325,-4.371390824,22.8471221
aennchen_von_tharau_A2,1,0,0,6.8950250500732,29,1.49183762860163,13.6135681655558,0,14.3989663289532,0,30,0,3,0,-64.43591753,-16.16637431,-3.988930189,-85.25679299,40.51227057
aglaia_H10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.9628182,31.52568315,-35.76806702,122.7578042,50.90639741
agnes_A3,3,-0.489593389608241,0.631652638136483,3.04700911745132,8.09215053215766,0.900100360378939,21.9485928226423,0.293650793650794,8.79587802255702,2.71274742751759,7,0.308411214953271,1,0,184.2230589,-154.0270934,-134.4331405,35.41986577,23.86715163
alberic_barbier_H5,2,-0.409041983807881,0.505374920530313,10.0917164180626,2.62755264784584,0.635921323926808,15.3569478885361,0,18.0669975159248,0,30,0,8,0,-146.410229,25.01381583,-24.02461615,154.8993559,49.99822957
alfred_colomb_C3,2,-0.680703091433592,0.975266036750252,10.5407315013275,1.93593772524389,0.413296217483454,88.2564152985892,0,22.0641038246473,0,30,0,10,0,-99.96367709,-110.0149518,25.00530551,-117.2768667,-5.449221897
anna_maria_de_montravel_C9,3,-0.222135738481528,0.248740868550137,6.73856814509404,19.246843416977,0.370150699743653,73.1801263150304,0.0426126440796367,205.577151632884,16.2592838109644,12,0.0790909090909091,5,0,-179.2871992,142.1521351,-154.3697378,-44.31089463,60.68137364
antonia_d_ormois_C12,2,-0.684233777357043,0.982252406822992,11.269669300798,1.436514401711,0.230256256361565,1.91909849016503,0,1.91909849016503,0,30,0,11,0,137.7437471,67.86946585,59.68022313,13.24699089,9.406964274
ayrshire_queen_G1,2,-0.37154102710128,0.449967332837742,6.28450709137759,2.9786023272453,0.334237004025961,5.81089550250769,0.224056603773585,10.4384171488816,2.59635756495024,9,0.248730964467005,5,0,-138.9991345,-24.51825903,103.7225535,25.59293428,50.95134169
bacchante_A5,2,-0.612869122061589,0.84571940344864,9.69001256030511,2.40651952540468,0.424438750900931,3.31989006604189,0,2.9879010594377,0,30,0,9,0,148.6877989,78.89562695,74.49304515,9.388725016,34.83346225
baron_de_wassenaer_D4,1,0,0,9.41503363862736,29,0.894550891488198,3.45017963073051,0,4.43594523951066,0,30,0,8,0,34.82704723,9.288689072,0.613487934,-56.29790269,-38.51167619
beau_narcisse_H5,3,-0.311313607400792,0.365217296306701,7.07396696407199,4.62442742177619,0.556230252020092,69.6680534966735,0.0837912087912088,75.2038958284932,17.5475756933151,12,0.233333333333333,6,0,6.382910614,32.53792242,48.93836846,7.853137845,32.04381611
belle_de_baltimore_G5,1,0,0,9.41384917761625,29,1.40031583192301,15.6325341194599,0,28.4891976943427,0,30,0,6,0,-46.37096406,97.72673904,-1.605629001,59.44729833,-148.4746297
belle_helene_A7,2,-0.336345530573435,0.399822622770732,9.25441550514766,2.08415532118949,0.648207936193699,9.00407660428269,0,8.56485335529329,0,30,0,8,0,148.3839434,77.26115888,73.29728665,8.605538297,33.03700986
belle_herminie_B10,2,-0.180458175108498,0.197766023998835,9.1635829274519,2.37838693547563,0.975804265739086,24.4779559081747,0,27.3082195600574,0,30,0,6,0,144.9301677,85.69525226,77.60357615,9.551957709,31.98649107
belle_isis_F7,2,-0.337395491631012,0.401293153877259,7.28699165117937,1.95314071521063,0.586834935388834,33.48182646683,0,37.7561021859998,0,30,0,6,0,139.8289367,91.20402738,76.06829827,12.34868701,29.30433336
belvedere_G8,1,0,0,10.7206925669818,29,1.09046745511192,65.867888212225,0,153.812376319756,0,30,0,8,0,-76.35198747,130.8225437,-102.8359617,56.56362305,-57.17162918
bijou_des_amateurs_A8,2,-0.419527708405536,0.521242915685976,9.07688299679995,2.8259445990429,0.123902010421937,3.50232121485603,0,3.23291189063633,0,30,0,9,0,147.3416965,84.02596197,78.47719166,7.591117314,33.41085384
blanche_moreau_A9,2,-0.0900941690917387,0.0942773259553322,4.99168275313224,2.90920986863821,0.0962773213230916,4.40140112319596,0,4.51722746854323,0,30,0,5,0,153.0315293,61.00501605,61.53649982,1.326440892,31.04170792
blanc_pur_G4,1,0,0,6.74749300644174,29,1.2211828760009,2.01686523658188,0,2.2291668404326,0,30,0,5,0,-89.05312138,-106.0798522,72.57396957,68.46031165,-38.68751025
blush_damask_H1,1,0,0,7.48727675869789,29,2.47910140775574,6.85754850700487,0,6.30059025262884,0,30,0,1,0,155.4423176,-13.73957001,-7.349283466,5.475746716,-6.934541869
