Name,year_obtained_Cristiana,year_obtained,CoderemonteeHarmonise3years,codenumremonteeHarmonise3years,codenumremonteeAvg3years,IDJeremyYear1,coderemonteeYear1,codenumremonteeYear1,IDJeremyYear2,coderemonteeYear2,codenumremonteeYear2,IDJeremyYear3,coderemonteeYear3,codenumremonteeYear3,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
bijou_des_amateurs_A8,1837,1837,NR,1,1,NR8,NR,1,NR11,NR,1,NR5,NR,1,2,-0.4195277084,0.5212429157,9.0768829968,2.825944599,0.1239020104,3.5023212149,0,3.2329118906,0,30,0,9,0,147.3416965264,84.0259619689,78.4771916564,7.5911173135,33.4108538361
blanche_moreau_A9,1880,1863,NA,NA,1,NA,NA,NA,NA,NA,NA,NR131,NR,1,2,-0.0900941691,0.094277326,4.9916827531,2.9092098686,0.0962773213,4.4014011232,0,4.5172274685,0,30,0,5,0,153.0315293441,61.0050160537,61.5364998158,1.3264408917,31.0417079172
blanc_pur_G4,1827,1827,NR,1,1,NR142,NR,1,NR205,NR,1,NR207,NR,1,1,0,0,6.7474930064,29,1.221182876,2.0168652366,0,2.2291668404,0,30,0,5,0,-89.0531213765,-106.079852213,72.5739695733,68.4603116493,-38.6875102506
blush_damask_H1,NA,1760,NR,1,1,NR113,NR,1,NR156,NR,1,NR150,NR,1,2,-0.0208505787,0.0210694707,6.8536531401,5.6027674442,0.8005753763,3.1137086951,0.0201096892,7.0290811961,0.1452289503,11,0.020661157,5,0,155.4423176404,-13.7395700057,-7.3492834655,5.4757467161,-6.934541869
blush_hip_B3,NA,1834,NR,1,1,NR188,NR,1,NR264,NR,1,NR269,NR,1,2,-0.3764312876,0.4570754169,9.4703864945,10.7650286407,2.187426346,61.5941680621,0.306402439,85.7677034083,18.5652751459,15,0.2164599775,5,1,44.6725582576,24.2437700997,51.119863752,-9.0672952929,-1.6729713737
boula_de_nanteuil_A11,1834,1834,NR,1,1,NR80,NR,1,NR102,NR,1,NR95,NR,1,1,0,0,7.684037606,29,1.2207310684,11.0187192884,0,10.5779705169,0,30,0,6,0,149.528197373,77.3026616913,73.5386639958,8.7095653821,34.2159236299
bouquet_de_venus_D6,1814,1814,NR,1,1,NR3,NR,1,NR4,NR,1,NR2,NR,1,1,0,0,9.9812604692,29,1.410154454,28.5523260554,0,38.5456401748,0,30,0,7,0,143.2546062951,87.1933009796,76.5833295985,9.9750634168,31.1618824828
camaieu_G12,1826,1826,NR,1,1.33,NR51,NR,1,NR69,NR,1,R30,R,2,2,-0.0745079043,0.0773538592,9.5431462898,3.935538588,0.3712493831,8.6345605457,0.0714285714,11.955545371,0.9962954476,13,0.0833333333,8,0,145.3760012436,84.794197952,75.8071768418,10.7651915244,32.2162989146
capitaine_basroger_C1,1890,1890,NR,1,1,NR173,NR,1,NR246,NR,1,NR256,NR,1,1,0,0,6.2993181888,29,0.9856883309,7.3125247988,0,9.6217431563,0,30,0,4,0,-9.6409703009,-39.0188776137,78.1558559251,-36.9568411119,30.0774896456
caroline_banks_A12,1889,1889,NR,1,1,NR129,NR,1,NR185,NR,1,NR183,NR,1,2,-0.4612767494,0.5860977422,5.9198879116,2.3235349823,0.7346104309,10.1114058351,0,9.4590570715,0,30,0,4,0,-93.7670718623,25.5087875745,-53.0031135206,-85.2716588562,17.7570828757
