Name,Nb_Clust_A1,Lmax_P_A1,Rat_P_A1,Min_M_A1,DifMax_M_A1,Min_V_A1,Area_Peak_Inflo_A1,Reb_Mag_A1,Max_Peak_A1,Max_Reb_A1,First_Reb_A1,Rat_Peak_A1,First_Flo_A1,Cont_Flo_A1,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,2,-0.0814030595300182,0.0848080506843443,9.09056665797556,11.2344211591057,0.899934949271002,16.2691937205213,0.102923976608187,18.4539746243201,0.699978347819039,15,0.0379310344827586,7,0,-202.6184497,-83.68701119,61.10386399,145.1305199,27.76088089
adam_messerich_A8,2,-0.297872407126057,0.346989910600763,8.36154318888504,7.35071143881199,1.49890166428115,49.1702399402172,0.215219976218787,15.0490734362483,3.12901526892292,14,0.207920792079208,5,0,-51.15633087,-54.46923342,56.41315673,-15.07918355,10.13496043
adelaide_d_orleans_E10,2,-0.0247109071240211,0.0250187520685205,9.17256582521232,5.55181564832335,0.415665916340605,5.33063243262175,0.0102040816326531,25.1327412287183,0.384684814725281,20,0.0153061224489796,8,0,-142.1343959,23.75529218,44.71305325,-4.371390824,22.8471221
aennchen_von_tharau_A2,1,0,0,8.87750913950521,27,0.675463731027073,42.5024705494496,0,72.9703432563831,0,32,0,6,0,-64.43591753,-16.16637431,-3.988930189,-85.25679299,40.51227057
aglaia_H10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.9628182,31.52568315,-35.76806702,122.7578042,50.90639741
agnes_A3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.2230589,-154.0270934,-134.4331405,35.41986577,23.86715163
alberic_barbier_H5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.410229,25.01381583,-24.02461615,154.8993559,49.99822957
alfred_colomb_C3,2,-0.3136081919448,0.368353499579757,9.21929642674594,12.4240918264654,0.582827528838562,40.1469904084856,0.369047619047619,60.7886034015277,12.4985913535851,16,0.205607476635514,7,0,-99.96367709,-110.0149518,25.00530551,-117.2768667,-5.449221897
anna_maria_de_montravel_C9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-179.2871992,142.1521351,-154.3697378,-44.31089463,60.68137364
antonia_d_ormois_C12,2,-0.239404707608163,0.270492610577607,7.05954853945766,3.88328090843677,0.0997157493444102,5.69358878847636,0.771929824561404,15.7668612603961,17.7377189179456,9,1.125,7,0,137.7437471,67.86946585,59.68022313,13.24699089,9.406964274
ayrshire_queen_G1,2,-0.00960151755249209,0.0096477600028867,8.79595694893597,4.13037365130243,0.524743221633032,24.9346151668956,0.00672645739910314,40.3569279337791,0.337714878106938,13,0.00836820083682008,7,0,-138.9991345,-24.51825903,103.7225535,25.59293428,50.95134169
bacchante_A5,1,0,0,10.7652078343693,27,1.07960478864873,25.1559529276192,0,24.590650614639,0,32,0,8,0,148.6877989,78.89562695,74.49304515,9.388725016,34.83346225
baron_de_wassenaer_D4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.82704723,9.288689072,0.613487934,-56.29790269,-38.51167619
beau_narcisse_H5,1,0,0,9.12451775701883,27,0.495822250063999,55.1879573663022,0,108.598264568536,0,32,0,8,0,6.382910614,32.53792242,48.93836846,7.853137845,32.04381611
belle_de_baltimore_G5,1,0,0,10.9456454866344,27,0.66068877669168,17.3722942403631,0,48.5634588991968,0,32,0,9,0,-46.37096406,97.72673904,-1.605629001,59.44729833,-148.4746297
belle_helene_A7,2,-0.454988426717528,0.576155141639762,8.92445548856582,2.2502975065931,0.574759434972217,27.893883838418,0,19.4106923617857,0,32,0,7,0,148.3839434,77.26115888,73.29728665,8.605538297,33.03700986
belle_herminie_B10,1,0,0,10.1999339514722,27,1.58306558891279,50.3399498388551,0,38.8719731004177,0,32,0,8,0,144.9301677,85.69525226,77.60357615,9.551957709,31.98649107
belle_isis_F7,1,0,0,9.75760311735445,27,1.31671089518433,40.9972604997194,0,39.3387114023856,0,32,0,8,0,139.8289367,91.20402738,76.06829827,12.34868701,29.30433336
belvedere_G8,1,0,0,12.0304234608812,27,1.22099125000185,94.5345122705214,0,231.256125889249,0,32,0,10,0,-76.35198747,130.8225437,-102.8359617,56.56362305,-57.17162918
bijou_des_amateurs_A8,2,-0.0778642326550512,0.0809758874807443,9.98448465218984,2.00976044053673,0.581583366061927,22.9591276466602,0,34.9685174926055,0,32,0,8,0,147.3416965,84.02596197,78.47719166,7.591117314,33.41085384
blanche_moreau_A9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.0315293,61.00501605,61.53649982,1.326440892,31.04170792
blanc_pur_G4,1,0,0,8.59739088876708,27,0.327989827319082,1.24866135809087,0,2.24759044456356,0,32,0,8,0,-89.05312138,-106.0798522,72.57396957,68.46031165,-38.68751025
blush_damask_H1,1,0,0,8.66219788044063,27,1.12509290969889,28.161769505961,0.000661375661375661,43.3888811448558,0.0559135066299688,14,0.00128865979381443,5,0,155.4423176,-13.73957001,-7.349283466,5.475746716,-6.934541869
blush_hip_B3,2,-0.00100103981382517,0.00100154102140857,8.87536314366546,5.31586775884352,0.534432463429068,16.4211849949573,0.000782472613458529,46.9360416848819,0.0642959475135369,14,0.00136986301369863,8,0,44.67255826,24.2437701,51.11986375,-9.067295293,-1.672971374
boula_de_nanteuil_A11,1,0,0,9.08502233528718,27,0.776790938134249,7.12797722339861,0,9.43408750155698,0,32,0,8,0,149.5281974,77.30266169,73.538664,8.709565382,34.21592363
bouquet_de_venus_D6,2,-0.298971334700433,0.348470968594614,9.78121089836491,2.53245184302075,0.624411853612351,28.7485074990248,0,31.7318431828859,0,32,0,8,0,143.2546063,87.19330098,76.5833296,9.975063417,31.16188248
camaieu_G12,1,0,0,9.55817323176818,27,0.832181102409331,45.1173548134589,0,70.5255493663015,0,32,0,8,0,145.3760012,84.79419795,75.80717684,10.76519152,32.21629891
capitaine_basroger_C1,1,0,0,8.28062732069753,27,0.726361933412721,11.8033177362549,0,15.0224043915972,0,32,0,6,0,-9.640970301,-39.01887761,78.15585593,-36.95684111,30.07748965
caroline_banks_A12,1,0,0,9.62275125783284,27,0.784732611470801,9.67675367203996,0,11.90985067328,0,32,0,8,0,-93.76707186,25.50878757,-53.00311352,-85.27165886,17.75708288
