Name,Nb_Clust_A2,Lmax_P_A2,Rat_P_A2,Min_M_A2,DifMax_M_A2,Min_V_A2,Area_Peak_Inflo_A2,Reb_Mag_A2,Max_Peak_A2,Max_Reb_A2,First_Reb_A2,Rat_Peak_A2,First_Flo_A2,Cont_Flo_A2,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,3,-0.440129255,0.552907926,7.643897288,19.15804618,0.907603234,6.156408887,0.093959732,2.690578699,0.273618173,21,0.101694915,6,0,-202.6184497,-83.68701119,61.10386399,145.1305199,27.76088089
adam_messerich_A8,3,-0.554086721,0.740350833,9.247607715,11.94687738,1.409921116,30.28063931,0.278017241,7.773537256,2.440529139,15,0.313953488,5,1,-51.15633087,-54.46923342,56.41315673,-15.07918355,10.13496043
adelaide_d_orleans_E10,1,0,0,10.1706395,28,1.311583548,12.48923329,0.000561167,42.41150082,0.049087385,28,0.001157407,8,0,-142.1343959,23.75529218,44.71305325,-4.371390824,22.8471221
aennchen_von_tharau_A2,3,-0.198426567,0.219482473,7.598892577,4.065804203,0.477143781,24.68160722,0,36.36859341,0,33,0,6,0,-64.43591753,-16.16637431,-3.988930189,-85.25679299,40.51227057
aglaia_H10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.9628182,31.52568315,-35.76806702,122.7578042,50.90639741
agnes_A3,3,-0.898942104,1.457002483,7.000596409,6.683311056,0.082558671,2.9286704,0.372881356,1.899678097,1.187298811,13,0.625,7,0,184.2230589,-154.0270934,-134.4331405,35.41986577,23.86715163
alberic_barbier_H5,1,0,0,10.49874065,28,1.82638734,21.06787973,0,17.19510772,0,33,0,8,0,-146.410229,25.01381583,-24.02461615,154.8993559,49.99822957
alfred_colomb_C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.96367709,-110.0149518,25.00530551,-117.2768667,-5.449221897
anna_maria_de_montravel_C9,3,-0.776183855,1.173163315,9.194878594,7.793628208,0.34653995,16.63424172,0.37295082,18.59121134,5.218585638,15,0.280701754,6,0,-179.2871992,142.1521351,-154.3697378,-44.31089463,60.68137364
antonia_d_ormois_C12,2,-0.589114701,0.802392052,10.00673063,3.579375418,0.315699767,1.087586752,0.555555556,1.631380127,2.447070191,13,1.5,9,0,137.7437471,67.86946585,59.68022313,13.24699089,9.406964274
ayrshire_queen_G1,2,-0.067463985,0.06979173,8.704658145,2.288010041,0.878507615,22.12389193,0.000938086,24.554404,0.062320822,15,0.002538071,6,0,-138.9991345,-24.51825903,103.7225535,25.59293428,50.95134169
bacchante_A5,1,0,0,11.4799258,28,1.582463763,11.73416308,0,9.92890722,0,33,0,9,0,148.6877989,78.89562695,74.49304515,9.388725016,34.83346225
baron_de_wassenaer_D4,1,0,0,11.58886989,28,0.961525575,13.62058195,0,14.98264015,0,33,0,9,0,34.82704723,9.288689072,0.613487934,-56.29790269,-38.51167619
beau_narcisse_H5,1,0,0,10.19979307,28,1.129613932,59.1472691,0,64.96503327,0,33,0,7,0,6.382910614,32.53792242,48.93836846,7.853137845,32.04381611
belle_de_baltimore_G5,1,0,0,11.40932104,28,1.143419001,27.86781869,0,50.38446023,0,33,0,9,0,-46.37096406,97.72673904,-1.605629001,59.44729833,-148.4746297
belle_helene_A7,1,0,0,11.43360223,28,1.257227575,8.676988319,0,10.12315304,0,33,0,9,0,148.3839434,77.26115888,73.29728665,8.605538297,33.03700986
belle_herminie_B10,2,-0.156961256,0.169950284,10.59402493,2.459728384,0.27524723,13.71267668,0,14.70225128,0,33,0,9,0,144.9301677,85.69525226,77.60357615,9.551957709,31.98649107
belle_isis_F7,1,0,0,10.34145283,28,1.124889814,32.07583408,0,38.29627408,0,33,0,9,0,139.8289367,91.20402738,76.06829827,12.34868701,29.30433336
belvedere_G8,1,0,0,13.14606575,28,0.582551806,52.12107582,0,207.6536885,0,33,0,11,0,-76.35198747,130.8225437,-102.8359617,56.56362305,-57.17162918
bijou_des_amateurs_A8,3,-0.611448911,0.843099953,11.62986878,0.750853633,0.00609431,0.251815909,0,0.755447726,0,33,0,12,0,147.3416965,84.02596197,78.47719166,7.591117314,33.41085384
blanche_moreau_A9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.0315293,61.00501605,61.53649982,1.326440892,31.04170792
blanc_pur_G4,1,0,0,10.01565775,28,1.130631744,3.800340947,0,4.180375041,0,33,0,8,0,-89.05312138,-106.0798522,72.57396957,68.46031165,-38.68751025
