INDEX	ID	Name_corCOP	date_corCOP	periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
139	prince_frederic_D11	prince_frederic	1840	[1840-1849]	[1830-1849]	Hgal	0	1	104.2	NR	1	1	NA	NA	NA	NR223	NR	1	NR234	NR	1	410.29	83.018	0	0.534	1	1	0	1	1	1	1	0	0	6.92280743	86.89237434	11.68827612	-6.2252687	20.41441449	prince_frederic_D11	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	NA	3	3	3	5	7	5	2	11	3	3	unicolor	1	purple	6.92280743	86.89237434	11.68827612	-6.2252687	20.41441449
143	quatre_saisons_blanc_mousseux_F3	quatre_saisons_blanc_mousseux	1830	[1830-1839]	[1830-1849]	M	0	1	50	NR	1	1.33	NR206	NR	1	NR68	NR	1	R29	R	2	873.023	137.967	0	7.53	1	1	0	1	1	1	4	3	1	125.8494053	-42.53741876	-24.12804819	12.65582421	-113.7267674	quatre_saisons_blanc_mousseux_F3	1	1	0	NA	NA	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	2	NA	NA	5	5	2	7	5	5	unicolor	1	pink	125.8494053	-42.53741876	-24.12804819	12.65582421	-113.7267674
146	robert_le_diable_F12	robert_le_diable	1837	[1830-1839]	[1830-1849]	Hgal	0	1	78.5	NR	1	1	NR122	NR	1	NR172	NR	1	NR170	NR	1	187.473	59.83	0	0.49	1	1	0	1	1	1	0	0	0	149.6965249	77.29480885	74.41923745	8.059512732	34.23840057	robert_le_diable_F12	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	2	2	3	NA	5	5	5	2	9	5	3	unicolor	1	purple	149.6965249	77.29480885	74.41923745	8.059512732	34.23840057
167	rosa_manetti_H4	rosa_manetti	1835	[1830-1839]	[1830-1849]	NA	0	1	31.4	NR	1	1	NR98	NR	1	NR130	NR	1	NR125	NR	1	589.457	63.4267	0	0	1	1	0	1	1	0	5	4	4	-84.65738845	-32.4079896	-41.75169203	-28.26061163	-81.58538472	rosa_manetti_H4	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	2	2	2	2	5	3	1	2	3	3	3	unicolor	1	pink	-84.65738845	-32.4079896	-41.75169203	-28.26061163	-81.58538472
178	rosa_spectabilis_H12	rosa_spectabilis	1833	[1830-1839]	[1830-1849]	Hsem	0	1	71.8	NR	1	1	NR193	NR	1	NR269	NR	1	NR279	NR	1	117.233	0	0	0	1	0	0	1	0	0	4	3	3	-97.08990483	100.9511123	-18.72147345	10.45739721	-83.29345613	rosa_spectabilis_H12	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	NA	NA	2	2	9	3	3	3	11	3	3	unicolor	1	pink	-97.08990483	100.9511123	-18.72147345	10.45739721	-83.29345613
186	sidonie_F6	sidonie	1845	[1840-1849]	[1830-1849]	D	0	1	137.4	RF	3	2.66	RF44	RF	3	R2	R	2	RF6	RF	3	684.712	47.8522	0	2.99222	1	1	0	1	0	1	4	4	4	26.43414523	48.99975998	17.64275171	-3.002747953	-69.12903414	sidonie_F6	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	NA	2	2	2	5	3	3	3	11	5	3	unicolor	1	pink	26.43414523	48.99975998	17.64275171	-3.002747953	-69.12903414
193	stanwell_perpetual_D11	stanwell_perpetual	1835	[1830-1839]	[1830-1849]	Hspn	0	1	54.8	RF	3	3	RF15	RF	3	RF31	RF	3	RF39	RF	3	348.88	39.4529	0	3.53714	1	1	0	1	0	1	3	1	2	-10.35010506	19.5143752	23.14435439	-55.05267643	-8.618588735	stanwell_perpetual_D11	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	3	3	5	7	5	1	1	5	3	unicolor	1	white	-10.35010506	19.5143752	23.14435439	-55.05267643	-8.618588735
194	the_garland_D6	the_garland	1835	[1830-1839]	[1830-1849]	Hmult	0	0	23	NR	1	1	NR47	NR	1	NR64	NR	1	NR65	NR	1	758.077	66.62	0	0	1	1	0	1	1	0	0	0	1	-112.3304807	74.18683276	-65.44298566	51.05376836	-239.8983339	the_garland_D6	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	3	3	5	3	3	3	1	1	7	unicolor	1	white	-112.3304807	74.18683276	-65.44298566	51.05376836	-239.8983339
196	toussaint_l_ouverture_H2	toussaint_l_ouverture	1849	[1840-1849]	[1830-1849]	B	0	1	62.8	NR	1	1	NR186	NR	1	NR261	NR	1	NR266	NR	1	270.6	95.9833	0	12.2833	1	1	0	1	1	1	4	0	0	148.2921027	74.10007383	70.59767832	5.253179301	19.3697896	toussaint_l_ouverture_H2	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	2	1	1	NA	5	7	7	2	11	3	3	unicolor	1	pink	148.2921027	74.10007383	70.59767832	5.253179301	19.3697896
149	rosa_albertii_G7	rosa_albertii	unknown	botanical	Botanical	Sp	1	0	5	R	2	2	R11	R	2	R11	R	2	R14	R	2	582.487	112.52	0	14.4567	1	1	0	1	1	1	0	0	0	201.4786608	-175.3986064	-148.4436032	20.67395437	19.33451125	rosa_albertii_G7	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	3	3	3	3	7	3	3	1	3	1	3	unicolor	1	pink	201.4786608	-175.3986064	-148.4436032	20.67395437	19.33451125
150	rosa_arvensis_D8	rosa_arvensis	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR65	NR	1	NR87	NR	1	NR82	NR	1	0.0566667	0	0	0	0	0	0	0	0	0	0	0	0	49.69419965	146.5766623	41.64129482	51.12638796	6.799807617	rosa_arvensis_D8	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	2	3	3	NA	5	3	3	2	3	1	5	unicolor	1	white	49.69419965	146.5766623	41.64129482	51.12638796	6.799807617
151	rosa_californica_E8	rosa_californica	unknown	botanical	Botanical	Sp	0	0	11.2	NR	1	1	NR25	NR	1	NR35	NR	1	NR33	NR	1	377.126	188.944	0	2.93	1	1	0	1	1	1	0	1	1	-8.789701142	-9.522325083	-202.9980426	-47.67333577	34.6797104	rosa_californica_E8	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	2	2	2	2	7	3	3	2	3	1	5	unicolor	1	pink	-8.789701142	-9.522325083	-202.9980426	-47.67333577	34.6797104
157	rosa_cuspidata_G5	rosa_cuspidata	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR200	NR	1	NR276	NR	1	NR285	NR	1	67.6033	46.2533	0	0	1	1	0	0	0	0	3	0	0	-123.7473416	-74.72404525	52.2481904	-138.9682804	-11.04074346	rosa_cuspidata_G5	0	0	1	NA	NA	0	1	0	1	1	0	0	0	1	1	0	1	0	2	2	2	2	NA	3	1	3	3	3	3	unicolor	1	pink	-123.7473416	-74.72404525	52.2481904	-138.9682804	-11.04074346
160	rosa_ferruginea_C11	rosa_ferruginea	unknown	botanical	Botanical	Sp	1	0	5	R	2	1.66	R34	R	2	NR143	NR	1	R59	R	2	441.82	10.645	0	34.265	1	1	0	1	0	1	2	0	0	205.4350834	-189.9615276	-159.2681551	14.33158278	17.63512606	rosa_ferruginea_C11	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	2	1	NA	5	3	3	3	1	1	3	unicolor	1	pink	205.4350834	-189.9615276	-159.2681551	14.33158278	17.63512606
163	rosa_holikensis_G10	rosa_holikensis	unknown	botanical	Botanical	Hspn	1	0	5	R	2	2	R31	R	2	R40	R	2	R54	R	2	304.6	6.8	0	92.04	1	0	0	1	0	1	2	0	0	191.6259443	-166.423231	-143.6985368	25.94752939	18.9093008	rosa_holikensis_G10	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	2	NA	7	3	3	1	1	1	3	unicolor	1	white	191.6259443	-166.423231	-143.6985368	25.94752939	18.9093008
168	rosa_maximowicziana_B9	rosa_maximowicziana	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR68	NR	1	NR90	NR	1	NR84	NR	1	42.7633	79.63	0	0	1	1	0	0	1	0	4	2	0	-50.39509965	137.2198969	-85.77435487	37.16413898	18.62764421	rosa_maximowicziana_B9	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	3	NA	1	5	7	3	1	3	3	unicolor	1	white	-50.39509965	137.2198969	-85.77435487	37.16413898	18.62764421
171	rosa_pendulina_oxyodon_H9	rosa_pendulina_oxyodon	unknown	botanical	Botanical	Sp	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297.297	95.5433	0	48.23	1	1	0	1	1	1	0	0	0	184.1996114	-161.6471664	-139.5550959	27.80024732	19.59020592	rosa_pendulina_oxyodon_H9	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	NA	NA	1	1	7	3	1	1	3	3	3	unicolor	1	pink	184.1996114	-161.6471664	-139.5550959	27.80024732	19.59020592
172	rosa_pendulina_pyrenaica_H7	rosa_pendulina_pyrenaica	unknown	botanical	Botanical	Sp	1	0	5.2	NA	NA	1.33	R12	R	2	NR36	NR	1	NR34	NR	1	7.91667	7.99667	0	6.02667	0	0	0	0	0	1	0	0	0	193.9239466	-165.5120062	-144.4224355	28.25063056	21.56039859	rosa_pendulina_pyrenaica_H7	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	3	1	NA	7	3	1	2	1	1	3	unicolor	1	pink	193.9239466	-165.5120062	-144.4224355	28.25063056	21.56039859
174	rosa_polliniana_A11	rosa_polliniana	unknown	botanical	Botanical	NA	1	0	6.4	NR	1	1.33	NR67	NR	1	NR89	NR	1	R35	R	2	221.727	26.1233	0	0	1	1	0	1	0	0	1	0	0	121.7465752	91.37529081	43.83679434	34.14384165	20.6020702	rosa_polliniana_A11	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	3	3	3	3	1	5	3	2	1	5	3	unicolor	1	pink	121.7465752	91.37529081	43.83679434	34.14384165	20.6020702
177	rosa_rubus_B8	rosa_rubus	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NA	NA	NA	NR80	NR	1	NR78	NR	1	832.68	0	0	0	1	0	0	1	0	0	1	0	0	-52.76592775	107.3601086	-66.49987733	55.58556896	-22.63824114	rosa_rubus_B8	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	2	2	2	5	5	3	3	1	1	5	unicolor	1	white	-52.76592775	107.3601086	-66.49987733	55.58556896	-22.63824114
179	rosa_subgallicodes_E3	rosa_subgallicodes	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR130	NR	1	NR186	NR	1	NR184	NR	1	319.83	0.393333	0	0	1	0	0	1	0	0	0	0	0	40.38239119	138.7470482	27.85077503	54.47320537	3.043440469	rosa_subgallicodes_E3	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	3	3	5	3	3	3	1	3	7	unicolor	1	white	40.38239119	138.7470482	27.85077503	54.47320537	3.043440469
180	rosa_villosa_recondita_C5	rosa_villosa_recondita	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR118	NR	1	NR164	NR	1	NR159	NR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	69.88534558	100.8015096	-2.522139081	-1.158989921	36.07983553	rosa_villosa_recondita_C5	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	2	2	1	NA	5	3	1	2	3	5	3	unicolor	1	pink	69.88534558	100.8015096	-2.522139081	-1.158989921	36.07983553
181	rosa_wichurana_C9	rosa_wichurana	unknown	botanical	Botanical	Sp	1	0	5	NR	1	1	NR69	NR	1	NR91	NR	1	NR85	NR	1	30.09	70.52	0	0	1	1	0	0	1	0	0	0	0	-93.8449159	168.3867206	-140.6023612	18.95350275	52.67401567	rosa_wichurana_C9	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	3	NA	1	3	3	4	1	1	3	unicolor	1	white	-93.8449159	168.3867206	-140.6023612	18.95350275	52.67401567
