periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	moyTN	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
[1890-1899]	[1890-1909]	Hset	0	1	105.8	0	NR	1	1	NR133	NR	1	NR190	NR	1	NR189	NR	1	201.498	105.76	0	0.024	1	1	0	1	1	0	0	0	0	-6.803593876	138.077276	-65.3212506	-24.99976188	42.59611588	himmelsauge_A12	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	2	2	3	NA	5	5	5	2	11	3	3	unicolor	1	purple	-6.803593876	138.077276	-65.3212506	-24.99976188	42.59611588
[1890-1899]	[1890-1909]	T	0	1	96.5	1	RF	3	3	NA	NA	NA	NA	NA	NA	RF17	RF	3	0	0	31.23	0	0	0	1	0	0	0	2	0	1	-194.5153023	-115.1143831	92.66111825	177.904015	39.17425129	hovyn_de_tronchere_D3	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	NA	NA	2	2	7	3	3	2	11	3	1	unicolor	1	white	-194.5153023	-115.1143831	92.66111825	177.904015	39.17425129
[1890-1899]	[1890-1909]	Ch	0	1	31	0.6666666667	RF	3	2.66	RF23	RF	3	RF46	RF	3	R66	R	2	0	0	20.3967	0	0	0	1	0	0	0	2	0	0	-215.6964794	-77.12346978	43.21106084	120.471071	46.55077236	jean_bach_sisley_D4	0	0	1	NA	NA	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	NA	3	3	4	11	5	1	unicolor	1	pink	-215.6964794	-77.12346978	43.21106084	120.471071	46.55077236
[1900-1909]	[1890-1909]	Pol	0	0	14	1	RF	3	3	RF24	RF	3	RF47	RF	3	RF62	RF	3	588.26	1.71667	0	0	1	0	0	1	0	0	3	0	0	-162.9380905	144.3832897	-149.5258647	-13.07501072	71.69168684	jeanne_d_arc_G2	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	3	3	3	3	5	3	3	3	3	1	7	unicolor	1	white	-162.9380905	144.3832897	-149.5258647	-13.07501072	71.69168684
[1890-1899]	[1890-1909]	HT	0	1	79.2	3.3333333333	RF	3	3	RF43	RF	3	R78	R	2	RF92	RF	3	246.467	0.1	5.30667	0	1	0	1	1	0	0	2	5	3	-111.7238318	-113.5927654	75.56269903	54.13208208	20.47993894	la_favorite_A10	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	2	2	2	2	7	3	3	3	3	3	1	unicolor	1	white	-111.7238318	-113.5927654	75.56269903	54.13208208	20.47993894
[1890-1899]	[1890-1909]	Hwich	0	1	94.8	3	NA	NA	1.5	NA	NA	NA	NR47	NR	1	R18	R	2	271.084	10.6729	0	6.12714	1	1	0	1	0	1	3	3	3	-94.15671289	17.35587869	-44.44924158	-6.833426969	7.949321975	may_queen_D11	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	NA	3	3	3	5	3	3	3	11	5	3	unicolor	1	pink	-94.15671289	17.35587869	-44.44924158	-6.833426969	7.949321975
[1890-1899]	[1890-1909]	T	NA	NA	NA	0.6666666667	RF	3	3	NA	NA	NA	RF7	RF	3	RF12	RF	3	0	0	11.41	0	0	0	1	0	0	0	1	0	1	-222.1024838	-113.2859429	77.18669538	121.164302	15.31221179	mme_antoine_mary_E3	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	NA	2	2	2	7	3	1	4	7	5	3	unicolor	1	pink	-222.1024838	-113.2859429	77.18669538	121.164302	15.31221179
[1890-1899]	[1890-1909]	T	0	1	33	1.6666666667	RF	3	3	RF51	RF	3	RF74	RF	3	RF102	RF	3	345.463	59.1	4.03667	0	1	1	1	1	1	0	2	1	2	-239.1279353	-138.2075818	103.5478691	137.8086752	67.97833959	mme_emilie_charon_E5	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	7	3	1	3	11	5	3	unicolor	1	pink	-239.1279353	-138.2075818	103.5478691	137.8086752	67.97833959
[1890-1899]	[1890-1909]	B	0	1	43.25	3.3333333333	RF	3	3	RF35	RF	3	RF61	RF	3	RF83	RF	3	104.838	76.93	0.278	0	1	1	1	1	1	0	5	4	1	-52.45670091	-66.14639701	60.35093628	-128.0675043	-14.83497347	monsieur_cordeau_H6	0	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	5	3	5	3	3	5	3	unicolor	1	pink	-52.45670091	-66.14639701	60.35093628	-128.0675043	-14.83497347
[1890-1899]	[1890-1909]	Hmult	0	1	119.4	3	R	2	1.66	NR183	NR	1	R83	R	2	R104	R	2	0	71.3267	0	0	0	1	0	0	1	0	4	1	4	-57.22617009	11.32250789	11.09324075	-52.42032411	4.987759482	olivet_E2	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	7	5	3	2	11	5	3	unicolor	1	pink	-57.22617009	11.32250789	11.09324075	-52.42032411	4.987759482
[1890-1899]	[1890-1909]	Hwich	1	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	-150.5398043	161.0395323	-151.987952	-32.56024458	61.70831836	pink_roamer_A4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	NA	NA	2	2	1	3	3	4	1	3	7	unicolor	1	pink	-150.5398043	161.0395323	-151.987952	-32.56024458	61.70831836
[1900-1909]	[1890-1909]	Hwich	0	1	108	0.3333333333	RF	3	2.66	RF10	RF	3	R17	R	2	RF27	RF	3	0.513333	0	0.106667	16.8167	0	0	1	0	0	1	0	0	1	-156.4264048	34.96037437	-34.01559015	118.8962932	65.78149364	rene_andre_H11	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	3	3	3	3	9	3	3	4	9	3	3	unicolor	1	pink	-156.4264048	34.96037437	-34.01559015	118.8962932	65.78149364
[1890-1899]	[1890-1909]	Hrg	1	0	5	0.3333333333	NR	1	1.33	NR100	NR	1	NR134	NR	1	R55	R	2	1055.24	230.19	0	16.79	1	1	0	1	1	1	1	0	0	203.6356184	-195.4579018	-166.9013681	12.29931918	21.00986848	rosa_calocarpa_H10	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	2	NA	5	5	5	3	3	5	3	unicolor	1	pink	203.6356184	-195.4579018	-166.9013681	12.29931918	21.00986848
[1890-1899]	[1890-1909]	Ch	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-188.8557738	-62.49523523	39.02981232	47.91543159	-33.32328824	rosa_chinensis_mutabilis_G3	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	NA	2	2	2	5	3	1	3	3	1	7	unicolor	1	white	-188.8557738	-62.49523523	39.02981232	47.91543159	-33.32328824
[1900-1909]	[1890-1909]	Hwich	0	1	45	0.3333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.433333	8.37667	0	30.9633	0	0	0	0	0	1	1	0	0	-49.62701151	-65.82489039	48.9192334	-115.1480726	-6.29463874	ruby_queen_H3	0	0	1	NA	NA	0	1	0	1	1	0	0	0	1	1	0	1	0	NA	NA	2	2	NA	3	3	4	3	3	3	unicolor	1	pink	-49.62701151	-65.82489039	48.9192334	-115.1480726	-6.29463874
[1890-1899]	[1890-1909]	Hwich	0	1	35.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	35.73	0	34.67	0	1	0	0	0	1	0	0	0	-156.1144439	167.6036713	-159.7485976	-23.73625323	45.21631812	south_orange_perfection_H2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	NA	NA	3	3	5	3	3	4	1	1	7	unicolor	1	pink	-156.1144439	167.6036713	-159.7485976	-23.73625323	45.21631812
[1890-1899]	[1890-1909]	N	NA	NA	NA	4	NR	1	1	NR177	NR	1	NR181	NR	1	NR178	NR	1	179.254	83.408	0	0	1	1	0	1	1	0	4	4	4	-14.71831592	-31.69139858	53.15334139	-59.17370158	-14.57064069	souvenir_de_lucie_A3	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	NA	2	2	2	5	3	3	2	11	5	3	unicolor	1	pink	-14.71831592	-31.69139858	53.15334139	-59.17370158	-14.57064069
[1890-1899]	[1890-1909]	Hrg	NA	NA	NA	0.3333333333	RF	3	3	RF17	RF	3	RF38	RF	3	RF51	RF	3	425.857	62.5229	0	0.05	1	1	0	1	1	0	1	0	0	206.4884895	-201.8493504	-170.453438	13.22429438	22.34151847	souvenir_de_philemon_cochet_F9	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	2	NA	5	5	5	3	11	5	3	unicolor	1	white	206.4884895	-201.8493504	-170.453438	13.22429438	22.34151847
[1890-1899]	[1890-1909]	HP	0	1	42.8	3.6666666667	R	2	2.5	NA	NA	NA	R86	R	2	RF99	RF	3	0	78.54	0	0	0	1	0	0	1	0	3	4	4	-112.5197299	-71.08705802	49.74902905	-146.2920632	-14.25608954	tom_wood_D1	0	0	0	NA	NA	1	0	0	0	0	0	0	1	1	1	0	1	0	NA	1	1	1	NA	3	1	2	11	3	NA	unicolor	1	pink	-112.5197299	-71.08705802	49.74902905	-146.2920632	-14.25608954
[1890-1899]	[1890-1909]	NA	0	0	10.4	3	NR	1	1.33	NR174	NR	1	NR249	NR	1	R99	R	2	0.783333	0.943333	0.703333	0	0	0	1	0	0	0	3	5	1	-77.21381121	6.143432485	61.44463877	83.97048278	15.22689964	una_G12	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	2	2	2	7	3	5	2	1	5	3	unicolor	1	white	-77.21381121	6.143432485	61.44463877	83.97048278	15.22689964
[1890-1899]	[1890-1909]	Hmult	0	1	28.2	3.3333333333	R	2	1.66	R49	R	2	R64	R	2	NR214	NR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	2	-78.05939058	-8.966228466	-40.67080443	-69.82808684	4.006962004	wodan_F5	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	2	2	2	2	7	5	5	3	3	5	3	unicolor	1	red	-78.05939058	-8.966228466	-40.67080443	-69.82808684	4.006962004
